UID No,nvPMDB No,Manufacturer,Engine Identification,Combustor Description,Eng Type,B/P Ratio,Pressure Ratio,Rated Thrust (kN),Data Superseded,Superseded by UID No,Fuel Flow T/O (kg/sec),Fuel Flow C/O (kg/sec),Fuel Flow App (kg/sec),Fuel Flow Idle (kg/sec),Fuel LTO Cycle (kg)  ,Fuel Heat of Combustion (MJ/kg),Fuel Hydrogen Content (% mass),Fuel Aromatics Content (% vol),Fuel Naphthalene Content (% vol),Fuel Sulphur Content (ppm by mass),nvPM Mass Concentration Max (mg/m³),nvPM Mass Concentration Characteristic (mg/m³),nvPM Mass Concentration Characteristic (% of CAEP/10 Limit),nvPM Mass Concentration Number Test,nvPM Mass Concentration Number Eng,nvPM EImass T/O (mg/kg),nvPM EImass C/O (mg/kg),nvPM EImass App (mg/kg),nvPM EImass Idle (mg/kg),nvPM EImass Max (mg/kg),nvPMmass Number Test,nvPMmass Number Eng,LTOmass/Foo Avg (mg/kN),LTOmass/Foo Characteristic (mg/kN),LTOmass/Foo Characteristic (% of CAEP/11 InP Limit),LTOmass/Foo Characteristic (% of CAEP/11 NT Limit),nvPM LTO Total Mass (mg),nvPM EInum T/O (#/kg),nvPM EInum C/O (#/kg),nvPM EInum App (#/kg),nvPM EInum Idle (#/kg),nvPM EInum Max (#/kg),nvPMnum Number Test,nvPMnum Number Eng,LTOnum/Foo Avg (#/kN),LTOnum/Foo Characteristic (#/kN),LTOnum/Foo Characteristic (% of CAEP/11 InP Limit),LTOnum/Foo Characteristic (% of CAEP/11 NT Limit),nvPM LTO Total Particle Number (#),nvPM EImass_SL T/O (mg/kg),nvPM EImass_SL C/O (mg/kg),nvPM EImass_SL App (mg/kg),nvPM EImass_SL Idle (mg/kg),nvPM EInum_SL T/O (#/kg),nvPM EInum_SL C/O (#/kg),nvPM EInum_SL App (#/kg),nvPM EInum_SL Idle (#/kg),Ambient Baro Min (kPa),Ambient Baro Max (kPa),Ambient Temp Min (K),Ambient Temp Max (K),Humidity Min (kg/kg),Humidity Max (kg/kg),Test Organisation,Test Location,Initial Test Date,Final Test Date,Remark 1,Remark 2,Remark 3,Remark 4,Remark 5,Remark 6,Remark 7,Remark 8
01P11CM115,1,CFM International,CFM56-7B24E/B1,Tech Insertion,TF,5.3,25.6,107.6,,,1.086,0.895,0.308,0.103,398,43.27,13.83,18.7,0.67,519,1114,1434,22.5,3,1,48.6,33.6,1.3,0.8,48.6,3,1,59.6,82.8,3.5,16.3,6408,4.28E+14,4.24E+14,5.46E+13,3.69E+13,4.31E+14,3,1,7.39E+14,1.03E+15,7.0,16.6,7.95E+16,58.3,41.7,2.0,1.2,1.24E+15,1.39E+15,3.10E+14,2.12E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM116,1,CFM International,CFM56-7B26E,Tech Insertion,TF,5.1,27.7,117.0,,,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,0.67,519,1504,1936,31.6,3,1,61.8,40.3,1.6,0.8,61.8,3,1,73.9,103.0,4.8,23.3,8646,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,3,1,7.50E+14,1.04E+15,7.7,19.3,8.77E+16,72.3,49.2,2.4,1.1,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM117,1,CFM International,CFM56-7B26E/B1,Tech Insertion,TF,5.1,27.7,117.0,,,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,0.67,519,1504,1936,31.6,3,1,61.8,40.3,1.6,0.8,61.8,3,1,73.9,103.0,4.8,23.3,8646,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,3,1,7.50E+14,1.04E+15,7.7,19.3,8.77E+16,72.3,49.2,2.4,1.1,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM118,1,CFM International,CFM56-7B26E/B2,Tech Insertion,TF,5.1,27.7,117.0,,,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,0.67,519,1504,1936,31.6,3,1,61.8,40.3,1.6,0.8,61.8,3,1,73.9,103.0,4.8,23.3,8646,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,3,1,7.50E+14,1.04E+15,7.7,19.3,8.77E+16,72.3,49.2,2.4,1.1,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM119,1,CFM International,CFM56-7B26E/F,Tech Insertion,TF,5.1,27.7,117.0,,,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,0.67,519,1504,1936,31.6,3,1,61.8,40.3,1.6,0.8,61.8,3,1,73.9,103.0,4.8,23.3,8646,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,3,1,7.50E+14,1.04E+15,7.7,19.3,8.77E+16,72.3,49.2,2.4,1.1,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM120,1,CFM International,CFM56-7B26E/B2F,Tech Insertion,TF,5.1,27.7,117.0,,,1.213,0.986,0.331,0.108,429,43.27,13.83,18.7,0.67,519,1504,1936,31.6,3,1,61.8,40.3,1.6,0.8,61.8,3,1,73.9,103.0,4.8,23.3,8646,4.15E+14,4.33E+14,6.54E+13,2.95E+13,4.33E+14,3,1,7.50E+14,1.04E+15,7.7,19.3,8.77E+16,72.3,49.2,2.4,1.1,1.10E+15,1.34E+15,3.69E+14,1.54E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM121,1,CFM International,CFM56-7B27E,Tech Insertion,TF,5.1,29.0,121.4,,,1.293,1.031,0.343,0.110,445,43.27,13.83,18.7,0.67,519,1788,2301,38.3,3,1,70.8,44.0,1.7,0.7,70.8,3,1,83.2,116.0,5.7,28.2,10104,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,3,1,7.51E+14,1.04E+15,8.0,20.5,9.12E+16,82.1,53.2,2.7,1.1,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM122,1,CFM International,CFM56-7B27E/B1,Tech Insertion,TF,5.1,29.0,121.4,,,1.293,1.031,0.343,0.110,445,43.27,13.83,18.7,0.67,519,1788,2301,38.3,3,1,70.8,44.0,1.7,0.7,70.8,3,1,83.2,116.0,5.7,28.2,10104,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,3,1,7.51E+14,1.04E+15,8.0,20.5,9.12E+16,82.1,53.2,2.7,1.1,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM123,1,CFM International,CFM56-7B27E/B3,Tech Insertion,TF,5.1,29.0,121.4,,,1.293,1.031,0.343,0.110,445,43.27,13.83,18.7,0.67,519,1788,2301,38.3,3,1,70.8,44.0,1.7,0.7,70.8,3,1,83.2,116.0,5.7,28.2,10104,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,3,1,7.51E+14,1.04E+15,8.0,20.5,9.12E+16,82.1,53.2,2.7,1.1,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
01P11CM124,1,CFM International,CFM56-7B27AE,Tech Insertion,TF,5.1,29.0,121.4,,,1.293,1.031,0.343,0.110,445,43.27,13.83,18.7,0.67,519,1788,2301,38.3,3,1,70.8,44.0,1.7,0.7,70.8,3,1,83.2,116.0,5.7,28.2,10104,4.02E+14,4.33E+14,7.10E+13,2.66E+13,4.33E+14,3,1,7.51E+14,1.04E+15,8.0,20.5,9.12E+16,82.1,53.2,2.7,1.1,1.01E+15,1.30E+15,3.98E+14,1.34E+14,99.5,100.2,295.5,311.8,0.0066,0.0122,Safran Aircraft Engines,"Villaroche, France",25-07-2019,30-07-2019,Engine 849-166/1,"Certification Report CR-2097/3 SUPPLEMENT 2-5B, CR-2097/3 SUPPLEMENT 2-7B",,,,,,
